FUNCTIONAL_CLASS_026,Urban,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,ADT_029,YEAR_ADT_030,APPR_WIDTH_MT_032,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,OPERATING_RATING_064,INVENTORY_RATING_066,APPR_ROAD_EVAL_072,TRAFFIC_DIRECTION_102,YEAR_RECONSTRUCTED_106,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,LOWEST_RATING,DECK_AREASQMTS,Latitude,Longitude,PPTIN,TMAXC,TMINC,pc250,scour_critical,waterway_eval,struc_eval,channel_cond,culvert_cond
7,0,1951,2,272,2018,8.5,3,6.7,7.9,8,42.5,25.5,7,2,0,5,0,350,2038,7,56.95,31.331229,-85.515304,130.6869965,25.1275005,12.7454004,0.0519297,8,7,6,7,1
7,0,1990,2,210,1992,8.5,4,11.3,8.5,10,61.3,36.8,8,2,0,12,0,280,2036,7,110.74,32.4844,-85.3131,114.2799988,23.9197006,11.3739004,0.0744134,8,7,7,8,1
8,0,1996,2,200,1996,8.5,3,12.8,14.9,16,88.9,59.9,6,2,0,1,0,250,2034,8,198.4,32.272133,-85.084669,111.1119995,24.5692005,11.5068998,0.0685756,8,8,8,8,1
16,1,1957,4,13800,2018,14.6,3,6.4,14.8,18,62.4,37.5,7,2,0,1,0,19320,2038,7,117.12,34.4454,-86.373,124.2730026,21.6802998,9.7356005,0.17511,8,7,7,5,1
2,0,1976,4,19210,2019,12.2,2,10.7,0,0,88.9,88.9,8,2,0,13,1,25268,2039,5,130.54,33.205643,-86.332476,127.302002,23.2495995,10.5430002,0.143457,8,6,5,4,0
2,0,1929,2,3310,2013,8.8,3,10.2,7.5,8,86.9,52.2,8,2,0,16,0,4252,2033,6,82.62,32.055256,-87.465388,130.7740021,24.4825993,11.3575001,0.0943636,8,6,6,6,1
6,0,1993,2,750,2013,7.3,4,8.3,0,0,82.5,49.4,8,2,0,22,0,910,2035,7,60.59,33.042242,-85.36088,121.7200012,23.4836998,9.7480497,0.0926597,8,6,7,7,1
16,1,1957,4,13800,2018,14.6,3,6.4,14.8,18,62.4,37.5,7,2,0,1,0,19320,2038,7,117.12,34.4454,-86.373,124.2730026,21.6802998,9.7356005,0.17511,8,7,7,5,1
19,1,1961,4,35710,1988,21,4,22.3,0,0,63.5,38.1,7,2,0,3,0,55550,2036,6,468.3,32.2306,-86.1524,116.5550003,24.6893005,11.9668999,0.0756995,8,7,6,7,1
2,0,1996,5,17810,2017,18.3,3,9.4,0,0,88.9,88.9,8,2,0,7,0,24934,2037,7,172.02,34.29119,-85.49462,127.1610031,22.1284008,8.8841801,0.232598,8,8,7,7,1
